GISJOIN,Avg_Life_Expect,se,Abridged_life_table_flag
G3600810060000,81.9,2.4638,3
G3600810121500,85,1.96,3
G3600810049200,81.7,2.5948,3
G3600050004100,73.5,1.3528,3
G3600810026100,80.3,1.6752,3
G3600810018101,78.7,1.3896,3
G3600050003500,78.8,3.5915,3
G3600810042700,82.5,2.5852,3
G3600050031000,75,1.0896,3
G3600050005100,74.4,1.3771,3
G3600610003700,81.5,1.3237,2
G3600050030100,76.9,1.6589,3
G3600810077905,86,3.0698,3
G3600810043701,78,1.6687,3
G3600810048000,79.9,1.3462,2
G3600810114100,82.5,1.9169,3
G3600810045000,84.3,2.4079,3
G3600810109300,,,
G3600050027600,,,
G3600810112300,82.4,2.5514,3
G3600810021400,81.2,2.0745,2
G3600810013800,86.2,3.0902,3
G3600810015300,84.5,3.8177,3
G3600810147100,83.3,1.7693,3
G3600810077904,82,1.52,3
G3600810118100,80.3,1.5127,2
G3600050008300,77.8,2.0655,3
G3600810044601,79.7,2.6841,3
G3600810050201,77.1,2.6933,3
G3600810022002,81.5,1.6923,3
G3600810052000,77.8,3.8124,3
G3600810143500,81,2.59,3
G3600810050600,81.1,3.1148,3
G3600810048200,81.3,3.4099,3
G3600050018400,80.8,1.8068,3
G3600810117500,84.8,1.8062,3
G3600050031200,83,2.5995,3
G3600810059600,79.3,1.8462,2
G3600810083700,86.1,2.4446,3
G3600810014700,88.7,3.455,3
G3600810047000,78.3,1.4187,2
G3600810112900,81.9,2.5564,3
G3600810109900,82.2,1.4502,3
G3600810059400,79.3,1.7244,2
G3600810046600,81.9,2.0203,3
G3600050033500,84.2,2.0064,3
G3600610002800,78.9,1.9885,3
G3600050027401,79.3,2.4426,3
G3600810146300,,,
G3600810036100,82.5,2.3659,3
G3600810036500,78.3,1.7016,2
G3600810073900,84.2,1.5449,3
G3600810040100,76.6,2.1754,2
G3600810030903,89.6,3.9257,3
G3600810045400,82.1,2.7335,3
G3600810023800,80.3,3.0469,3
G3600810113900,87.6,2.6779,3
G3600810059800,82.6,3.4798,3
G3600810124100,82.6,1.444,3
G3600810113300,88.2,3.6458,3
G3600610002900,87.4,1.727,3
G3600810053200,77.4,2.1242,3
G3600810051800,79.6,1.9977,3
G3600810059200,77.6,2.0225,3
G3600810156700,79.6,1.3519,2
G3600050035600,77.6,1.2289,2
G3600810050000,80.3,2.3019,3
G3600810050800,79.6,2.2975,3
G3600810115100,87.8,3.7838,3
G3600810046800,82.1,2.5587,3
G3600810138502,,,
G3600810053401,79.3,1.1957,2
G3600810144700,83.1,2.3526,3
G3600810018102,81.5,1.6982,3
G3600810146700,78.7,1.3024,3
G3600810011700,79.4,1.1571,3
G3600810108500,85,2.6126,3
G3600810050202,81.1,3.3901,3
G3600050003800,74.1,3.5019,3
G3600810059000,79.3,1.3168,2
G3600810046200,79.9,1.5465,3
G3600810058000,82,2.705,3
G3600050036000,77.4,1.6855,3
G3600810046000,81.7,2.3409,3
G3600810048400,82,2.1198,3
G3600810136700,83.7,1.5289,3
G3600810051600,78.6,2.4092,2
G3600810077907,80.1,1.5222,2
G3600810051000,79.8,2.2854,2
G3600810025302,80.5,2.3116,3
G3600810023200,82.5,1.6559,3
G3600810011500,79.2,1.7775,3
G3600810016900,85,2.1062,3
G3600810023000,82.8,1.6673,3
G3600810144100,83.2,1.9554,3
G3600810119100,79.3,1.4638,3
G3600810053601,79.8,1.6352,2
G3600810099703,84.8,1.6385,3
G3600810058200,77.6,1.7585,2
G3600810053800,79.3,3.2311,3
G3600810122300,85.4,2.222,3
G3600810051200,80.6,2.6552,3
G3600810104700,82.6,1.3389,3
G3600810147900,84.3,2.2792,3
G3600810044602,78.4,2.0929,3
G3600610018800,77.8,2.2451,3
G3600050031400,79.3,1.4152,3
G3600810119900,83,2.5536,3
G3600810138501,88.6,3.2087,3
G3600810129104,80.3,1.2215,3
G3600050003700,,,
G3600810157102,80.9,1.8587,3
G3600610013500,84.2,2.5504,3
G3600810023600,79.8,1.3757,2
G3600810101700,82.3,1.222,3
G3600810055200,80.2,2.1604,3
G3600810044800,81.6,2.5361,3
G3600810118500,83.2,2.991,3
G3600610002602,78.6,1.6601,3
G3600810054000,77.4,1.2783,3
G3600810049600,77.6,1.1838,2
G3600810071100,84.5,1.7435,3
G3600810054800,81.5,1.8248,3
G3600810015700,79.5,3.976,3
G3600810139900,83,2.4651,3
G3600050046201,81.4,0.9574,1
G3600810041500,82.1,2.2637,3
G3600810125700,77.8,1.4671,3
G3600810006900,84,1.8962,3
G3600810056800,80.9,1.963,3
G3600810130100,81.7,1.4195,3
G3600610007500,82.9,2.8928,3
G3600810018300,80.7,1.1867,3
G3600810014300,85.3,2.7465,3
G3600810015900,80.4,1.3302,2
G3600810088901,81.3,1.3826,3
G3600810005700,81.7,3.1264,3
G3600610001401,83.6,1.5559,3
G3600810025301,83.6,2.2595,3
G3600610002201,82.4,1.7375,3
G3600810026300,85.3,3.7143,3
G3600050048400,82.2,2.9859,3
G3600810099705,81.8,1.7032,2
G3600810157101,85.3,1.8262,3
G3600050007900,82.1,3.5458,3
G3600810005300,84.1,3.1067,3
G3600050044902,79.8,2.2441,3
G3600050035000,79,1.942,2
G3600050029600,81.2,1.4036,2
G3600810054200,80.1,1.5249,3
G3600810074500,82.1,1.5525,3
G3600050030000,79.8,1.5581,3
G3600810162100,85.5,2.2178,3
G3600050009800,79,1.3371,2
G3600810036300,77,2.213,3
G3600810161700,85.6,2.2421,3
G3600810137700,84.8,2.7038,3
G3600810055600,88.3,3.7463,3
G3600050031600,82.7,2.5753,3
G3600610019600,75.6,1.2431,3
G3600050004300,79,2.6594,3
G3600810099704,83.7,1.4253,3
G3600050028400,,,
G3600810079900,83.3,1.8377,3
G3600810048300,80.9,1.6864,2
G3600050046202,78.5,1.2794,1
G3600050007300,75.6,1.3431,2
G3600810117100,81.7,1.6692,3
G3600810056400,77.8,2.2918,3
G3600050006500,76.1,1.9936,3
G3600050026400,81.8,1.8091,3
G3600810043900,76.6,1.9912,2
G3600050011502,75.6,1.3105,2
G3600810155101,,,
G3600810152901,88.3,2.1616,3
G3600810056600,80.3,2.602,3
G3600810056200,78.3,1.5172,2
G3600810074100,84.4,2.2482,3
G3600810055400,82,2.588,3
G3600610007900,88.2,3.0584,3
G3600610002202,,,
G3600050035800,85.2,2.5629,3
G3600610020600,79.2,2.29,2
G3600810155102,83.7,1.5184,3
G3600810055800,85.2,2.2117,3
G3600050008500,77.7,2.5661,3
G3600810077908,79,1.8174,3
G3600810099701,81.6,1.61,3
G3600810086900,86.3,3.836,3
G3600050043500,,,
G3600810056000,83.8,3.9838,3
G3600050028600,80.4,1.8001,2
G3600810032700,86.3,3.1494,3
G3600610002601,76.8,1.915,3
G3600810068300,88.4,2.9273,3
G3600810150702,82.9,1.1847,3
G3600810150701,84.2,1.8004,3
G3600050015500,75.6,1.3079,2
G3600050036400,77.8,2.3597,2
G3600810157903,82.5,1.4902,3
G3600810077906,83.2,2.1076,3
G3600810074300,85.1,1.96,3
G3600050026601,79.7,1.5315,3
G3600810157902,81.2,1.9035,3
G3600050008900,79.8,2.3603,3
G3600610021000,74.9,1.5437,3
G3600810152902,84,1.7027,3
G3600810029100,81.9,1.539,3
G3600050009600,75,1.5497,3
G3600810012500,82.9,2.2426,3
G3600050015300,77.9,2.7172,3
G3600050026602,83.6,2.275,3
G3600810157901,82.8,1.5405,3
G3600810035300,77.1,1.2072,2
G3600810071305,83.3,1.6606,3
G3600810007100,80.2,1.8022,3
G3600610018000,77.4,1.7003,3
G3600810033700,79,2.0521,2
G3600810069300,83.2,3.5798,3
G3600050046000,70.9,1.5236,3
G3600810071303,82.3,1.6884,3
G3600810047300,88.4,3.0162,3
G3600050007100,77,2.6384,3
G3600050007500,74.5,1.1711,3
G3600050015900,75.4,1.8188,3
G3600050044800,79.8,1.2892,2
G3600050034800,80.7,1.9046,3
G3600810115500,80.6,1.5211,2
G3600810069701,81.3,1.2781,3
G3600810014900,81.4,2.5569,3
G3600810122701,84.9,2.2234,3
G3600050020000,79.6,2.1205,3
G3600610001402,80,1.5838,3
G3600050031800,79.9,1.6249,3
G3600050044200,76.8,1.4302,2
G3600810033900,81.4,1.7603,3
G3600050038600,82.2,2.2982,3
G3600050007700,73.7,3.5823,3
G3600810040300,76.6,1.5576,2
G3600050042600,81.5,2.2301,3
G3600050012500,76.8,1.6616,2
G3600610023802,59,2.3306,3
G3600810043702,82.9,2.9248,3
G3600050008700,79.3,2.305,1
G3600810035100,82.3,1.4463,3
G3600050012701,76.3,2.451,3
G3600810037900,76.3,1.5682,2
G3600810007500,81.6,1.355,3
G3600050011900,79.8,2.5284,3
G3600050045800,73.2,1.7074,3
G3600810122702,76,1.2006,1
G3600810007300,83.7,2.8615,3
G3600810006502,78.7,1.5463,3
G3600810026500,80.9,1.824,2
G3600810045700,84.7,2.0611,3
G3600610016200,81.4,2.8105,3
G3600050004600,73.6,3.0846,3
G3600050006700,78,2.5589,3
G3600810044301,85.3,3.2129,3
G3600050012901,78.1,3.3008,3
G3600050044400,81.6,3.0123,3
G3600050013100,73.8,1.6897,3
G3600810048500,85.5,2.8564,3
G3600810071306,83.6,2.0597,3
G3600050015100,75.6,1.3864,2
G3600050002800,78,1.3217,1
G3600050013300,79.9,2.6301,1
G3600050004200,75.4,1.3697,3
G3600810015500,85.1,3.6568,3
G3600050016300,,,
G3600050045102,77.7,1.5993,3
G3600050036700,75.6,1.7831,2
G3600810045500,82.9,2.4586,3
G3600810071702,,,
G3600810006501,80.1,1.2445,3
G3600810005900,81.8,1.636,3
G3600610001600,93.6,3.7672,3
G3600050016100,76.3,1.8311,3
G3600050012101,76.5,2.1716,3
G3600050029700,75.3,1.2498,3
G3600050041400,82.6,2.2548,3
G3600050038200,76.7,1.392,2
G3600050025600,79.8,3.4547,3
G3600050036100,75.4,1.9755,3
G3600610019800,74.4,1.5371,3
G3600050025400,78.7,0.876,2
G3600050012300,77.2,1.6902,3
G3600810044302,78.8,1.182,2
G3600610018200,76.6,2.1862,1
G3600610004400,,,
G3600050028800,85.7,2.8079,3
G3600610004700,81.4,2.1844,3
G3600610020800,77.8,1.7611,2
G3600050035900,75.6,2.8419,2
G3600810041300,85.9,3.8494,3
G3600050036800,80.8,2.007,3
G3600050013500,75.6,1.7243,2
G3600610021200,76.4,1.3444,3
G3600050012102,75.6,2.0389,2
G3600050029302,83,1.2842,3
G3600810040500,76.6,1.7311,2
G3600810028900,82.8,1.3742,3
G3600050042800,84.1,3.4202,3
G3600050015700,75.6,2.1922,2
G3600810071304,83.9,1.8378,3
G3600610021100,81.5,1.7597,3
G3600810071900,86.1,3.0569,3
G3600050020200,80.8,3.1063,3
G3600610021400,79.9,1.9713,3
G3600810071701,82.9,1.6485,3
G3600610017000,81.8,1.527,3
G3600810087100,79.1,2.4347,3
G3600050036502,,,
G3600050036902,75.6,1.6471,2
G3600810120100,78.8,1.4925,2
G3600050036300,75.6,1.4233,2
G3600810072100,83.8,1.5148,3
G3600050014900,72.9,1.5589,3
G3600050007800,75.6,1.4127,2
G3600050038800,78.1,1.7352,3
G3600810045900,83.7,2.3954,3
G3600810084900,74.9,1.6548,2
G3600810006100,81.4,1.3817,2
G3600050022000,75.6,2.8617,2
G3600810006300,83.6,2.5223,3
G3600810115700,88.5,3.4144,3
G3600050034400,79.9,1.7883,2
G3600810120500,85.8,2.6985,3
G3600810084500,,,
G3600810037700,84.1,2.9615,3
G3600050006900,76.8,1.2393,2
G3600610018400,82.4,2.9562,3
G3600610020500,81.6,0.8564,2
G3600610020000,80.7,2.8736,3
G3600050045101,81,2.2289,3
G3600610015100,84,3.4093,3
G3600610008603,85.8,1.9351,3
G3600050020400,79.8,2.7805,3
G3600050005200,79.5,3.4118,3
G3600050043600,79.6,2.8953,3
G3600050023600,77.4,1.5865,2
G3600610017402,71.2,2.3473,3
G3600050006100,84.1,2.2287,3
G3600050039800,79.3,3.1174,3
G3600050005001,78.5,2.223,1
G3600050037000,79,1.0962,2
G3600050025200,80.1,1.8636,3
G3600810079702,83.6,2.0259,3
G3600810041100,82.5,3.3906,3
G3600050039300,75.2,1.2899,1
G3600050024000,75.6,1.943,2
G3600610017200,,,
G3600050006000,77.4,2.7494,2
G3600050029500,83.4,2.025,3
G3600610014700,,,
G3600810040700,85.1,2.8621,3
G3600050004001,85.3,3.5987,3
G3600050036501,79.2,3.5005,3
G3600050028500,82.6,2.2598,3
G3600810048100,80,1.8731,2
G3600610019000,77.7,2.0128,1
G3600050042400,78.1,2.2032,3
G3600810028700,82.9,1.7534,3
G3600610008602,,,
G3600050009200,80.2,2.0698,3
G3600050043400,81.4,1.9821,3
G3600610018600,76.3,1.8348,3
G3600610006000,85.5,1.4093,3
G3600610017401,75.5,1.8268,3
G3600050040400,81.9,2.7249,3
G3600610004500,,,
G3600810116700,79.1,1.9306,2
G3600050020601,78.5,1.5202,2
G3600810118900,85.1,2.9273,3
G3600810115900,81.5,1.7983,3
G3600050005002,75.6,1.8264,2
G3600050032600,77.6,2.807,3
G3600050004400,73.9,1.4264,3
G3600810046100,78.8,1.7164,2
G3600810047100,85,3.7206,3
G3600050034200,79.2,1.6199,2
G3600050024400,81.8,2.9441,3
G3600610010601,89.9,2.3282,3
G3600050023800,78.2,2.5164,3
G3600050025000,82.7,2.5333,3
G3600050005400,80,2.5018,3
G3600610011201,,,
G3600050014100,76.8,1.626,2
G3600610004100,84.3,1.5395,3
G3600050043000,77.8,1.972,2
G3600050036901,75.9,2.2334,3
G3600810040900,76.6,1.4346,2
G3600610022400,72.9,1.2462,3
G3600810026700,81.3,1.8071,3
G3600050004800,80,2.2584,3
G3600610008300,81.2,1.6842,2
G3600050041800,76.8,1.6144,2
G3600050006300,76.8,1.2675,2
G3600050023200,82.4,2.8461,3
G3600610022200,76.2,2.6563,3
G3600050037100,78,2.7139,1
G3600050005902,76.4,1.535,3
G3600050005600,75.6,0.9381,2
G3600810118700,77.7,1.1874,2
G3600810116100,80.5,1.1206,3
G3600810037500,76.3,1.3072,2
G3600050018500,75.8,1.6799,1
G3600610021900,80.6,3.6248,3
G3600610006700,,,
G3600610001800,79.2,1.1626,2
G3600050023000,78.8,1.6982,2
G3600610008601,81.5,2.7557,2
G3600610011500,,,
G3600050021001,76.9,0.8641,3
G3600050021800,77.4,1.5374,3
G3600810046300,82.8,3.0307,3
G3600610013300,84.9,3.0955,3
G3600050034000,81.9,3.4817,3
G3600610003001,,,
G3600610012700,81.7,1.8878,2
G3600610022000,79.6,2.6268,2
G3600610009800,87.8,3.9553,3
G3600610022302,80.6,2.5513,3
G3600810028500,82.3,2.5098,3
G3600050039000,81.4,3.9455,3
G3600610006200,81.5,2.1888,3
G3600610022600,78,1.8908,3
G3600610020901,75.3,1.6145,3
G3600610012100,81.6,1.5618,2
G3600610013700,86,3.0035,3
G3600610004900,83,2.6191,3
G3600610010400,81.5,1.2745,2
G3600050027900,79.7,1.2148,3
G3600610013900,79.3,1.571,3
G3600050006200,78.1,2.7842,1
G3600050028100,78.7,1.2896,3
G3600610009300,,,
G3600610016400,78.7,2.5801,3
G3600050039600,86,3.9502,3
G3600050021002,79.9,1.4679,2
G3600610003200,,,
G3600610011100,77.6,1.7715,3
G3600050037200,78.3,1.3282,2
G3600050007200,84.3,3.1541,1
G3600050021601,82.8,3.5027,3
G3600050039400,77,1.5385,1
G3600810027300,80.6,1.6437,1
G3600610010300,81.6,2.616,2
G3600610021800,82.7,3.1029,3
G3600610020300,,,
G3600610003400,81.8,1.7904,2
G3600050022200,80.2,2.8425,3
G3600610011202,,,
G3600610016800,66.2,2.3494,3
G3600050038000,76.9,1.804,3
G3600610008900,81.6,1.4974,2
G3600050006800,75.6,1.2627,2
G3600050040800,76.8,1.4353,2
G3600610010602,84.4,2.2206,3
G3600050038900,76.5,2.0627,3
G3600810046500,81,2.5047,3
G3600050007000,80.6,3.715,3
G3600610022800,75.9,2.2914,3
G3600610003002,79.8,1.5575,3
G3600050016900,75.2,3.0008,3
G3600610009000,85,3.7211,3
G3600610010200,,,
G3600610013100,83.3,2.4222,3
G3600810028300,83.3,1.8153,3
G3600050042000,79.9,2.6692,3
G3600050033400,,,
G3600610009700,81.3,1.5611,3
G3600050028700,82.4,2.3623,3
G3600050021602,85,3.6693,3
G3600050040600,83.8,3.6023,3
G3600050006400,81.9,3.982,3
G3600810026902,86.3,3.0706,3
G3600050033800,76.8,1.5581,2
G3600610011401,,,
G3600050042200,83.8,3.1107,3
G3600610025700,81.6,2.2775,3
G3600810116300,82.3,1.19,3
G3600610023600,75.4,1.3443,3
G3600810028100,82.9,2.0481,3
G3600610020701,83.1,2.9438,3
G3600610010800,85.3,1.6466,3
G3600810079701,,,
G3600610015500,87.9,1.8229,3
G3600050021200,79.7,2.0888,3
G3600610007300,80,1.1286,3
G3600810027700,84.8,2.9028,3
G3600050007600,81.3,2.4677,3
G3600810046700,84.4,2.455,3
G3600050022404,80.1,2.3345,3
G3600610016600,82.4,3.436,3
G3600610021600,78.8,2.1547,3
G3600610010000,84.1,3.0144,3
G3600050039200,,,
G3600810027500,87.5,2.8234,3
G3600610029700,,,
G3600610021303,76.4,1.4668,3
G3600610014500,88,2.8595,3
G3600050028300,76.8,2.0552,2
G3600050024600,84.8,2.73,3
G3600610023200,72.7,1.6134,3
G3600810046900,86.2,2.6788,3
G3600610019900,81.6,0.8271,2
G3600610023000,78.8,2.2385,3
G3600610021500,72.9,1.519,3
G3600050033202,74.8,1.3572,3
G3600810027100,88.4,2.4661,3
G3600050022401,81.2,2.2822,3
G3600050028900,79.8,1.3146,3
G3600050024800,78.4,1.5819,3
G3600050037300,76.9,1.5588,1
G3600050039100,75.5,2.22,3
G3600810027900,88,3.1638,3
G3600610022301,82.3,2.231,1
G3600610008800,88.7,3.7127,3
G3600610003601,77.3,1.5632,3
G3600050014702,76.4,3.4103,1
G3600050014701,75.1,3.4828,3
G3600610011203,84.1,2.2396,3
G3600610004300,82.4,2.0886,3
G3600050022800,78.6,1.3822,3
G3600050033201,81.5,1.5143,3
G3600610012500,78.6,2.8101,3
G3600610016002,84,1.8852,3
G3600610012200,82.1,0.8609,2
G3600050032400,,,
G3600810085900,85.7,2.3389,1
G3600810085300,85.4,2.9299,3
G3600610023400,,,
G3600810026901,82.2,2.3857,3
G3600050016700,,,
G3600610014300,,,
G3600810086100,79.7,1.2151,2
G3600050014500,69.5,1.3651,3
G3600610030900,80.9,1.6154,3
G3600050033600,75.9,1.2922,1
G3600610014900,89.1,2.3664,3
G3600610020101,,,
G3600610022500,81.3,1.5379,3
G3600050033000,85.3,3.291,3
G3600810086500,81.4,2.0113,3
G3600610011900,,,
G3600610011600,83.5,3.7538,3
G3600610009600,,,
G3600610020102,82.4,3.5548,3
G3600050016500,,,
G3600050032800,81.6,2.806,1
G3600610011402,87,2.7902,3
G3600050022403,81.2,2.5722,3
G3600610007700,81.7,1.7297,3
G3600810086300,87.3,3.2192,3
G3600610009400,,,
G3600610009200,79.5,3.6525,3
G3600050017300,78.1,3.0358,3
G3600610003602,81.6,1.8913,2
G3600610015300,87.8,2.5291,3
G3600610007800,82.3,2.1335,3
G3600610019701,78.4,1.9492,2
G3600050037800,76.5,1.8517,3
G3600610011000,87,2.5797,3
G3600050037400,74,1.7697,3
G3600050027700,76.3,1.3814,2
G3600610015900,84.3,2.0752,3
G3600610015602,78.9,2.9825,3
G3600050014300,75.6,2.2785,2
G3600610019500,82.2,1.9467,3
G3600810085700,82.6,1.8891,3
G3600610011300,,,
G3600610019702,76.7,2.6337,3
G3600610030700,86.4,3.4282,3
G3600050018900,75.7,1.7545,1
G3600810085500,84.1,2.1002,3
G3600610015200,87.8,2.9432,3
G3600610006500,83.4,2.8228,3
G3600610021703,,,
G3600610015700,87.5,2.8832,3
G3600610010900,,,
G3600610022900,80.9,1.9432,3
G3600610005501,86.1,2.5369,3
G3600610015802,79.3,1.6495,3
G3600610007000,83.8,2.5319,3
G3600610012000,84.6,1.5948,3
G3600050037600,77.6,2.2881,3
G3600050018302,,,
G3600610005502,,,
G3600610016001,84.9,1.6226,3
G3600610022102,76.2,2.109,3
G3600610003800,,,
G3600610013000,84.7,1.9798,3
G3600610016300,85.7,1.9754,3
G3600610014402,81.5,1.122,2
G3600610025900,82.3,3.571,3
G3600610019100,88.6,3.6118,3
G3600610008000,88,2.5282,3
G3600050018301,83.9,2.5886,3
G3600610008400,,,
G3600610012400,,,
G3600050037504,75.6,1.6703,2
G3600050043100,75.3,1.0341,1
G3600610030300,82.6,2.2322,3
G3600610019300,82.2,3.0747,3
G3600610006600,80.3,1.9564,3
G3600610023502,72.6,2.1254,3
G3600610011800,88.5,2.4988,3
G3600050042100,77.9,1.5175,2
G3600050027300,85.1,3.2438,3
G3600610010100,81.2,3.3592,2
G3600050019300,74.4,1.6794,3
G3600610004000,78.6,1.388,3
G3600050039700,74.9,1.7644,3
G3600610008200,81.8,1.2556,2
G3600610006400,84,2.4255,3
G3600610016100,81.5,1.6352,2
G3600610007100,86.4,2.9966,3
G3600610004800,84.5,2.6347,3
G3600050039500,74.9,2.7265,3
G3600610023300,81.3,2.1348,3
G3600050019500,76.8,1.2891,2
G3600610024302,75.6,1.2519,2
G3600610022700,79.7,2.002,3
G3600610015601,81.6,1.7018,2
G3600610009500,,,
G3600050019900,75.6,1.8736,2
G3600610018900,79.2,1.2322,1
G3600610018700,82.6,1.9703,1
G3600050020502,79.8,3.1769,3
G3600610008100,81.8,1.3182,2
G3600610029500,81.7,1.2084,2
G3600610015801,85.2,2.2374,3
G3600050017500,73,2.3994,3
G3600610016700,87,2.0542,3
G3600050038700,72.1,3.8471,3
G3600610005700,88,2.7337,3
G3600610015002,88.6,2.4191,3
G3600610009100,79.3,2.8662,3
G3600610024700,86.6,3.2909,3
G3600050017100,,,
G3600050021501,,,
G3600610008700,81.5,2.1255,3
G3600610023100,78.3,1.6211,3
G3600610024100,81.4,1.5594,3
G3600050017702,80.9,3.6085,3
G3600050021100,75.6,1.5323,2
G3600050020100,75.6,1.3814,2
G3600050023100,76.8,2.3221,2
G3600610017100,82.1,1.5536,3
G3600610016500,85.3,1.6872,3
G3600610023700,80,1.8266,3
G3600610013200,87.7,3.7895,3
G3600050017701,70.3,1.7484,3
G3600050040900,77.6,1.9971,3
G3600050021301,75.6,3.0542,2
G3600050024501,75.6,2.191,2
G3600610023501,77.9,1.6235,2
G3600610018300,81.3,1.5272,3
G3600610014200,89.5,2.9987,3
G3600610028700,83,2.7908,3
G3600610005900,93.3,3.1022,3
G3600610013600,85.2,1.7572,3
G3600610007200,81.5,1.8403,2
G3600610018500,88.2,3.0857,3
G3600050024700,78.3,2.6411,2
G3600610017500,81.5,1.0986,3
G3600050021302,74.7,1.3223,3
G3600610017900,86.1,2.7789,3
G3600610016900,83.4,1.6093,3
G3600610029300,87.2,3.7537,1
G3600610007600,,,
G3600610014401,89.9,3.0765,3
G3600610004200,,,
G3600050020501,75.6,1.3094,2
G3600610018100,88.5,2.6721,3
G3600610015001,,,
G3600610017300,83.4,1.8094,3
G3600050022902,76.2,3.3516,3
G3600610006300,83.9,1.4308,3
G3600610023900,,,
G3600050021502,75.7,2.1104,3
G3600610024500,88,2.9759,3
G3600050018101,75.6,2.1533,2
G3600050042902,76.2,1.6887,3
G3600050005300,72.2,1.9131,1
